country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
Africa,1990,,638157571.0,56045613056.0,22.755,0.036,658.281,-39.515,-5.663,1625.73,64.578,4.137,2.551,1.167,0.608,1.033,0.473,0.246,295.753,0.464,582.724,0.914,0.418,421.374,15923.987,97545.961,8356.074,1313.871,674.894,118786.211,5157.774,17.636,4086.444,1.251,20.795,0.033,75.954,0.119,2.528,4.213,967.456,1.518,780.89,1.224,342.44,0.537,243.024,0.381,0.0795,1.1099999999999999,2607.795,4.61,2.893,5.823,3.399,3.441,1.971,6.78,1.91,16.07,0.853,18.691,1.917,0.304,8.035,1.983,18.724,2.629,0.4445,8.397,0.032,0.043,0.08,0.006,2688.74,1613.51,-75.557,-11.478
Africa,1991,,655040869.0,56045613056.0,24.384,0.037,687.829,29.548,4.489,1648.199,22.47,1.382,2.52,1.15,0.614,1.052,0.48,0.256,306.648,0.469,607.35,0.929,0.424,445.758,16611.816,99194.156,8662.723,1334.669,753.36,119745.398,5415.306,17.636,3976.666,1.251,20.799,0.032,78.466,0.12,2.55,4.207,959.187,1.466,808.93,1.235,346.17,0.528,257.532,0.394,0.0795,1.1099999999999999,2604.879,4.805,2.961,5.85,3.56,3.495,1.999,6.762,1.942,15.795,0.907,18.696,1.943,0.304,7.59,2.007,19.391,2.653,0.4445,8.411,0.032,0.044,0.082,0.006,2755.89,1670.16,-80.48,-11.701
Africa,1992,,671931834.0,56045613056.0,24.768,0.037,666.901,-20.928,-3.043,1856.519,208.32,12.639,2.767,1.274,0.681,0.994,0.458,0.245,288.434,0.43,620.511,0.925,0.426,470.526,17278.719,101050.68,8951.156,1358.02,827.632,120932.648,5671.383,17.636,3935.098,1.251,23.351,0.035,74.272,0.111,2.523,4.139,1187.251,1.77,820.37,1.221,349.34,0.52,256.077,0.382,0.0795,1.1099999999999999,2644.118,4.686,2.955,6.68,3.43,3.542,2.024,6.76,1.969,15.624,0.951,18.729,1.97,0.304,9.65,1.876,22.731,2.78,0.4445,8.431,0.033,0.045,0.084,0.006,2781.2,1695.48,-46.39,-6.956
Africa,1993,,689140286.0,56045613056.0,24.414,0.035,706.661,39.76,5.962,1967.385,110.866,5.972,2.859,1.318,0.725,1.027,0.473,0.26,318.584,0.463,643.518,0.935,0.431,494.94,17985.381,103018.062,9269.74,1379.81,909.353,122193.383,5931.535,17.636,3847.371,1.251,21.79,0.032,81.721,0.119,2.509,4.085,1260.735,1.832,837.23,1.215,351.45,0.51,260.152,0.378,0.0795,1.1099999999999999,2651.378,4.429,3.1,7.045,3.743,3.578,2.052,6.765,2.002,15.459,0.998,18.775,1.996,0.304,9.308,2.009,24.58,2.822,0.4445,8.453,0.034,0.046,0.085,0.006,2814.93,1729.19,-63.143,-8.935
Africa,1994,,706488557.0,56045613056.0,24.884,0.035,790.281,83.62,11.833,2181.449,214.063,10.881,3.092,1.403,0.783,1.12,0.508,0.284,330.423,0.468,716.321,1.015,0.461,519.824,18775.66,105199.508,9600.164,1472.623,994.942,123584.562,6188.109,17.636,3879.322,1.251,92.812,0.132,85.589,0.121,2.581,4.118,1391.178,1.972,861.61,1.22,413.55,0.585,256.573,0.364,0.0795,1.1099999999999999,2740.697,4.229,3.431,7.572,3.86,3.604,2.087,6.78,2.036,15.936,1.045,18.822,2.02,0.304,29.481,2.087,24.084,2.773,0.4445,8.49,0.035,0.046,0.087,0.006,2909.22,1823.43,-73.96,-9.359
Africa,1995,,724331972.0,56045613056.0,26.9,0.037,844.557,54.275,6.868,2246.457,65.008,2.98,3.106,1.38,0.773,1.168,0.519,0.29,346.584,0.479,751.733,1.039,0.462,546.723,19620.217,107445.969,9946.748,1576.906,1096.498,124986.477,6453.343,17.636,3936.807,1.251,104.283,0.144,101.556,0.14,2.601,4.101,1401.911,1.938,876.75,1.21,418.23,0.577,265.234,0.367,0.0795,1.1099999999999999,2851.555,4.323,3.59,7.703,3.937,3.634,2.126,6.797,2.071,16.483,1.103,18.873,2.044,0.304,31.942,2.412,24.859,2.84,0.4445,8.54,0.036,0.047,0.089,0.006,2970.44,1884.01,-92.824,-10.991
Africa,1996,,742765067.0,56045613056.0,27.419,0.037,872.321,27.764,3.287,2173.015,-73.442,-3.269,2.93,1.243,0.729,1.176,0.499,0.292,352.718,0.476,751.774,1.014,0.43,574.143,20492.537,109618.984,10299.466,1696.568,1204.517,126287.172,6717.844,17.636,3936.949,1.251,119.662,0.161,108.019,0.146,2.627,4.039,1300.705,1.754,896.96,1.208,388.31,0.523,264.502,0.357,0.0795,1.1099999999999999,2924.229,4.317,3.597,7.184,3.909,3.662,2.163,6.805,2.105,17.107,1.161,18.898,2.065,0.304,34.134,2.457,21.688,2.749,0.4445,8.59,0.037,0.048,0.091,0.006,2999.85,1951.02,-120.547,-13.819
Africa,1997,,761224818.0,56045613056.0,27.539,0.036,893.989,21.668,2.484,2224.495,51.48,2.369,2.927,1.209,0.731,1.176,0.486,0.294,360.178,0.474,772.032,1.016,0.42,601.682,21386.527,111843.477,10659.645,1804.45,1299.723,127617.695,7021.028,17.636,3922.852,1.251,107.882,0.142,95.206,0.125,2.603,4.002,1330.517,1.75,915.32,1.202,394.73,0.519,303.184,0.399,0.0795,1.1099999999999999,2986.172,4.167,3.664,6.978,4.012,3.682,2.201,6.808,2.139,17.569,1.201,18.886,2.095,0.304,30.566,2.157,17.785,3.104,0.4445,8.626,0.038,0.049,0.093,0.007,3046.44,1981.61,-121.957,-13.642
Africa,1998,,779908311.0,56045613056.0,28.57,0.037,912.442,18.453,2.064,2344.06,119.565,5.375,3.01,1.209,0.769,1.172,0.471,0.299,354.754,0.456,819.202,1.052,0.423,630.252,22298.971,114187.531,11014.397,1905.723,1412.435,129049.32,7336.162,17.636,3888.152,1.251,101.273,0.13,112.712,0.145,2.598,4.006,1431.628,1.838,953.58,1.223,421.74,0.541,315.133,0.405,0.0795,1.1099999999999999,3032.402,4.34,3.75,7.686,4.061,3.708,2.239,6.824,2.172,17.966,1.253,18.925,2.126,0.304,30.08,2.513,23.221,3.185,0.4445,8.674,0.039,0.05,0.095,0.007,3123.98,2026.33,-93.24,-10.219
Africa,1999,,799099611.0,56045613056.0,29.73,0.037,899.677,-12.765,-1.399,2174.586,-169.474,-7.23,2.725,1.07,0.687,1.128,0.442,0.284,365.712,0.458,785.349,0.984,0.386,659.982,23198.646,116362.125,11380.11,2002.199,1526.812,130324.242,7629.544,17.636,3911.04,1.251,96.476,0.121,114.377,0.143,2.532,3.892,1274.92,1.598,941.77,1.179,417.52,0.522,293.382,0.368,0.0795,1.1099999999999999,3125.31,4.306,3.623,7.052,4.126,3.731,2.273,6.828,2.206,18.306,1.302,18.945,2.148,0.304,29.224,2.489,21.234,2.895,0.4445,8.706,0.039,0.051,0.097,0.007,3110.26,2023.44,-114.329,-12.708
Africa,2000,,818952374.0,56045613056.0,30.897,0.038,930.043,30.365,3.375,2129.489,-45.097,-2.074,2.604,0.99,0.652,1.137,0.432,0.285,369.186,0.451,732.651,0.896,0.341,690.88,24128.689,118491.609,11749.296,2105.579,1641.161,131523.703,7941.774,17.636,3902.278,1.251,103.38,0.126,114.35,0.14,2.52,3.809,1199.457,1.467,931.77,1.138,417.54,0.51,312.23,0.382,0.0795,1.1099999999999999,3195.78,4.283,3.647,6.897,4.01,3.753,2.306,6.829,2.237,18.659,1.345,18.971,2.173,0.304,29.772,2.417,22.313,3.038,0.4445,8.746,0.04,0.052,0.099,0.007,3119.22,2063.54,-197.391,-21.224
Africa,2001,,839464127.0,56045613056.0,32.412,0.039,919.543,-10.5,-1.129,2190.373,60.884,2.859,2.613,0.956,0.648,1.097,0.401,0.272,370.875,0.442,747.663,0.892,0.326,723.291,25048.232,120681.984,12120.172,2203.779,1761.287,132794.547,8239.704,17.636,3942.936,1.251,98.2,0.117,120.126,0.143,2.52,3.811,1270.841,1.516,902.15,1.075,433.42,0.516,297.93,0.355,0.0795,1.1099999999999999,3309.953,4.299,3.581,7.132,4.005,3.774,2.337,6.835,2.268,18.965,1.389,19.017,2.193,0.304,29.24,2.526,25.234,2.877,0.4445,8.794,0.041,0.053,0.101,0.007,3199.53,2115.39,-171.879,-18.692
Africa,2002,,860611762.0,56045613056.0,34.928,0.041,899.274,-20.269,-2.204,2493.823,303.45,13.854,2.902,1.018,0.726,1.046,0.367,0.262,360.04,0.419,739.299,0.86,0.302,758.219,25947.506,123175.805,12480.211,2286.276,1895.642,134389.094,8527.158,17.636,3895.799,1.251,82.498,0.096,134.355,0.156,2.511,3.782,1594.56,1.856,923.42,1.073,454.67,0.528,287.454,0.335,0.0795,1.1099999999999999,3352.77,4.467,3.426,7.883,3.718,3.801,2.363,6.853,2.294,19.14,1.44,19.098,2.208,0.304,25.405,2.739,29.61,2.781,0.4445,8.834,0.042,0.054,0.104,0.007,3254.66,2161.39,-159.975,-17.789
Africa,2003,,882349569.0,56045613056.0,35.273,0.04,988.565,89.291,9.929,2627.682,133.859,5.368,2.982,1.002,0.729,1.122,0.377,0.274,389.827,0.442,818.479,0.929,0.312,793.492,26936.072,125803.484,12870.038,2378.134,2041.423,136028.219,8852.983,17.636,3983.47,1.251,91.857,0.104,145.781,0.165,2.57,3.849,1639.127,1.86,988.15,1.12,485.86,0.551,325.827,0.37,0.0795,1.1099999999999999,3514.813,4.101,3.575,7.848,3.705,3.814,2.392,6.871,2.32,19.35,1.493,19.172,2.231,0.304,26.656,2.868,28.098,3.069,0.4445,8.879,0.043,0.055,0.106,0.007,3395.82,2267.37,-170.086,-17.205
Africa,2004,,904781595.0,56045613056.0,38.021,0.042,1044.867,56.301,5.695,2558.635,-69.047,-2.628,2.832,0.906,0.67,1.157,0.37,0.274,416.583,0.461,863.253,0.956,0.306,831.514,27980.939,128362.125,13286.621,2466.157,2194.11,137542.016,9202.535,17.636,4171.311,1.251,88.024,0.097,152.687,0.169,2.591,3.827,1513.779,1.676,1005.49,1.111,484.14,0.535,349.551,0.387,0.0795,1.1099999999999999,3774.125,4.231,3.651,7.522,3.83,3.831,2.424,6.883,2.349,19.522,1.545,19.239,2.257,0.304,25.689,2.903,28.065,3.175,0.4445,8.922,0.045,0.056,0.108,0.008,3462.54,2344.74,-181.614,-17.382
Africa,2005,,927898412.0,56045613056.0,41.903,0.045,1063.18,18.313,1.753,2456.617,-102.018,-3.987,2.651,0.806,0.632,1.147,0.349,0.274,411.34,0.444,881.782,0.952,0.289,873.417,29044.119,130818.742,13697.961,2552.027,2377.748,138935.453,9542.966,17.636,4079.506,1.251,85.869,0.093,183.638,0.198,2.625,3.85,1393.448,1.504,1054.31,1.136,510.73,0.55,340.43,0.367,0.0795,1.1099999999999999,3785.367,4.347,3.593,7.124,3.56,3.853,2.453,6.888,2.374,19.661,1.613,19.302,2.278,0.304,24.676,3.417,28.485,3.064,0.4445,8.963,0.046,0.057,0.111,0.008,3572.73,2435.28,-181.398,-17.062
Africa,2006,,951740562.0,56045613056.0,45.735,0.048,1092.166,28.986,2.726,2458.97,2.353,0.096,2.587,0.747,0.623,1.149,0.332,0.277,417.527,0.439,936.535,0.985,0.285,919.152,30136.285,133277.719,14115.487,2632.228,2557.091,140302.266,9912.327,17.636,4054.325,1.251,80.201,0.084,179.343,0.189,2.576,3.76,1366.815,1.438,1052.2,1.106,499.53,0.525,369.361,0.389,0.0795,1.1099999999999999,3858.666,4.35,3.568,6.861,3.423,3.875,2.481,6.887,2.395,19.75,1.672,19.351,2.305,0.304,23.076,3.235,26.111,3.295,0.4445,8.995,0.047,0.058,0.113,0.008,3578.56,2451.87,-155.631,-14.25
Africa,2007,,976461747.0,56045613056.0,49.202,0.05,1122.721,30.556,2.798,2622.714,163.744,6.659,2.69,0.734,0.646,1.151,0.314,0.277,428.376,0.439,972.655,0.998,0.272,968.354,31259.008,135900.422,14543.864,2703.168,2749.414,141802.281,10294.206,17.636,4102.063,1.251,70.941,0.073,192.323,0.197,2.587,3.742,1500.003,1.538,1077.09,1.103,515.42,0.528,381.88,0.392,0.0795,1.1099999999999999,4005.508,4.357,3.564,7.274,3.35,3.897,2.508,6.894,2.416,19.773,1.733,19.435,2.333,0.304,20.664,3.356,32.923,3.395,0.4445,9.027,0.048,0.059,0.115,0.008,3653.71,2525.87,-150.066,-13.366
Africa,2008,,1001981577.0,56045613056.0,51.817,0.052,1175.62,52.898,4.712,2890.544,267.83,10.212,2.889,0.748,0.665,1.175,0.304,0.27,452.062,0.452,1023.599,1.023,0.265,1020.171,32434.627,138790.984,14995.926,2774.197,2944.494,143517.203,10699.839,17.636,4236.832,1.251,71.028,0.071,195.08,0.195,2.613,3.746,1714.935,1.714,1099.83,1.098,529.34,0.528,405.632,0.405,0.0795,1.1099999999999999,4245.228,4.532,3.669,7.858,3.424,3.925,2.537,6.912,2.437,19.807,1.789,19.544,2.365,0.304,21.218,3.31,36.174,3.62,0.4445,9.065,0.049,0.06,0.118,0.008,3753.21,2618.42,-152.021,-12.931
Africa,2009,,1028200528.0,56045613056.0,58.048,0.057,1173.163,-2.456,-0.209,3187.862,297.318,10.286,3.105,0.778,0.735,1.143,0.286,0.271,421.882,0.411,1067.699,1.04,0.261,1078.219,33607.789,141978.828,15417.808,2840.67,3136.208,145531.906,11134.884,17.636,4198.256,1.251,66.474,0.065,191.714,0.187,2.527,3.617,2014.71,1.962,1079.85,1.05,519.39,0.505,435.045,0.424,0.0795,1.1099999999999999,4316.649,4.939,3.725,8.679,3.237,3.969,2.566,6.944,2.454,19.814,1.842,19.678,2.402,0.304,20.118,3.335,38.477,3.969,0.4445,9.099,0.05,0.062,0.12,0.008,3719.39,2598.15,-105.464,-8.99
Africa,2010,,1055233717.0,56045613056.0,59.657,0.057,1215.374,42.21,3.598,3493.079,305.217,9.574,3.315,0.787,0.772,1.153,0.274,0.269,427.883,0.406,1096.001,1.04,0.247,1137.876,34823.164,145471.906,15845.691,2910.038,3338.116,147809.625,11591.441,17.636,4217.788,1.251,69.368,0.066,201.908,0.192,2.574,3.657,2277.717,2.162,1127.6,1.069,548.98,0.52,456.557,0.433,0.0795,1.1099999999999999,4450.751,4.754,3.649,9.077,3.069,4.003,2.593,6.983,2.467,19.826,1.891,19.847,2.441,0.304,20.316,3.26,43.992,4.03,0.4445,9.131,0.051,0.063,0.123,0.009,3859.02,2716.33,-119.373,-9.822
Africa,2011,,1082676070.0,56045613056.0,58.925,0.055,1255.084,39.71,3.267,3737.006,243.927,6.983,3.457,0.817,0.804,1.161,0.274,0.27,420.703,0.389,1157.89,1.071,0.253,1196.801,36078.246,149208.922,16266.394,2977.178,3559.843,150291.562,12078.031,17.636,4143.733,1.251,67.14,0.062,221.727,0.205,2.492,3.731,2481.933,2.296,1095.69,1.012,553.4,0.511,486.589,0.45,0.0795,1.1099999999999999,4486.32,4.367,3.645,9.424,2.856,4.02,2.619,7.029,2.476,19.798,1.947,20.039,2.484,0.304,18.675,3.479,47.565,4.288,0.4445,9.158,0.052,0.064,0.125,0.009,4039.16,2698.15,-97.194,-7.744
Africa,2012,,1110797495.0,56045613056.0,63.744,0.057,1255.852,0.768,0.061,3461.939,-275.067,-7.361,3.121,0.713,0.719,1.132,0.259,0.261,425.732,0.384,1191.865,1.075,0.245,1260.545,37334.098,152670.859,16692.125,3042.265,3793.877,152497.672,12545.286,17.636,4200.126,1.251,65.086,0.059,234.034,0.211,2.527,3.734,2206.099,1.989,1125.8,1.014,556.44,0.501,467.255,0.421,0.0795,1.1099999999999999,4665.49,4.605,3.595,8.595,2.858,4.046,2.643,7.058,2.484,19.736,2.003,20.19,2.521,0.304,17.25,3.599,41.273,4.064,0.4445,9.183,0.053,0.066,0.128,0.009,4147.94,2806.63,-63.987,-5.095
Africa,2013,,1140180888.0,56045613056.0,65.686,0.058,1265.47,9.618,0.766,3204.809,-257.13,-7.427,2.815,0.645,0.637,1.111,0.255,0.252,425.527,0.374,1239.068,1.088,0.249,1326.231,38599.57,155875.672,17117.652,3104.743,4030.49,154437.016,13020.452,17.636,4206.431,1.251,62.478,0.055,236.613,0.208,2.492,3.662,1939.35,1.703,1107.77,0.972,556.49,0.488,475.166,0.417,0.0795,1.1099999999999999,4796.092,4.552,3.592,7.994,2.839,4.068,2.666,7.075,2.492,19.65,2.057,20.316,2.557,0.304,16.206,3.62,39.914,4.102,0.4445,9.202,0.054,0.067,0.13,0.009,4175.69,2841.19,-26.401,-2.086
Africa,2014,,1170299297.0,56045613056.0,70.034,0.06,1344.915,79.446,6.278,2953.229,-251.58,-7.85,2.527,0.569,0.567,1.151,0.259,0.258,439.206,0.376,1325.498,1.134,0.256,1396.265,39944.484,158828.891,17556.859,3165.68,4269.589,156045.344,13556.091,17.636,4210.886,1.251,60.937,0.052,239.099,0.205,2.474,3.609,1608.325,1.376,1104.54,0.944,554.01,0.473,535.639,0.458,0.0795,1.1099999999999999,4927.997,4.67,3.792,7.26,2.927,4.095,2.693,7.078,2.501,19.557,2.108,20.388,2.603,0.304,15.745,3.597,30.845,4.609,0.4445,9.211,0.055,0.068,0.132,0.009,4224.05,2895.62,-19.418,-1.444
Africa,2015,,1201108186.0,56045613056.0,74.038,0.062,1319.787,-25.128,-1.868,2783.963,-169.267,-5.732,2.321,0.519,0.535,1.1,0.246,0.254,417.184,0.348,1333.182,1.111,0.248,1470.302,41264.27,161612.859,17974.043,3227.003,4523.462,157509.531,14069.46,17.636,4204.125,1.251,61.323,0.051,253.874,0.212,2.424,3.543,1464.187,1.221,1123.16,0.935,569.28,0.474,513.369,0.428,0.0795,1.1099999999999999,5049.609,5.126,3.722,6.775,2.845,4.137,2.717,7.073,2.509,19.473,2.161,20.429,2.641,0.304,15.958,3.743,26.006,4.319,0.4445,9.21,0.056,0.07,0.135,0.01,4255.0,2911.66,13.394,1.015
Africa,2016,,1232111820.0,56045613056.0,77.352,0.063,1355.494,35.706,2.705,2817.146,33.183,1.192,2.29,0.513,0.525,1.102,0.247,0.253,424.01,0.345,1346.779,1.095,0.245,1547.655,42619.766,164430.0,18398.053,3284.907,4793.223,158971.203,14595.927,17.636,4205.953,1.251,57.904,0.047,269.761,0.219,2.405,3.534,1461.667,1.188,1144.44,0.929,586.45,0.476,526.466,0.428,0.0795,1.1099999999999999,5182.204,5.216,3.823,7.032,2.96,4.18,2.742,7.072,2.517,19.385,2.216,20.496,2.679,0.304,15.472,3.87,31.782,4.385,0.4445,9.206,0.056,0.071,0.137,0.01,4353.96,2963.38,-8.715,-0.643
Africa,2017,,1263333997.0,56045613056.0,75.881,0.06,1369.71,14.216,1.049,2850.031,32.886,1.167,2.259,0.5,0.522,1.086,0.24,0.251,417.888,0.331,1312.865,1.041,0.23,1623.536,43989.477,167280.031,18815.941,3345.215,5077.633,160451.531,15127.148,17.636,4207.816,1.251,60.308,0.048,284.41,0.225,2.395,3.492,1480.333,1.173,1166.33,0.923,587.21,0.465,531.222,0.421,0.0795,1.1099999999999999,5315.877,5.044,3.802,7.021,2.884,4.214,2.766,7.071,2.524,19.299,2.273,20.566,2.716,0.304,15.564,3.994,32.428,4.347,0.4445,9.206,0.057,0.072,0.139,0.01,4411.07,3026.27,-56.845,-4.15
Africa,2018,,1295265310.0,56045613056.0,77.317,0.06,1357.075,-12.635,-0.922,2584.03,-266.001,-9.333,1.998,0.438,0.467,1.049,0.23,0.245,414.995,0.321,1307.989,1.011,0.222,1700.853,45346.551,169864.062,19230.938,3404.753,5365.082,161678.484,15644.924,17.636,4195.228,1.251,59.539,0.046,287.449,0.222,2.377,3.433,1226.966,0.949,1180.74,0.912,580.71,0.448,517.776,0.4,0.0795,1.1099999999999999,5433.933,4.938,3.691,6.295,2.818,4.242,2.787,7.058,2.53,19.192,2.323,20.61,2.748,0.304,14.618,3.834,28.633,4.221,0.4445,9.202,0.058,0.073,0.141,0.01,4446.5,3078.37,-49.086,-3.617
Africa,2019,,1327701380.0,56045613056.0,78.396,0.059,1457.568,100.493,7.405,2522.879,-61.151,-2.366,1.903,0.416,0.444,1.099,0.251,0.257,455.446,0.343,1387.172,1.046,0.302,1779.249,46804.117,172386.938,19686.381,3465.204,5673.577,162743.812,16199.704,17.636,4187.656,1.251,60.451,0.046,308.495,0.233,2.358,3.389,1065.326,0.803,1203.58,0.907,587.39,0.442,554.781,0.418,0.0795,1.1099999999999999,5559.957,4.852,3.935,6.059,3.102,4.266,2.813,7.041,2.541,19.065,2.378,20.625,2.785,0.304,13.883,4.048,23.172,4.482,0.4445,9.196,0.059,0.075,0.144,0.01,4499.46,3130.55,-70.396,-4.83
Africa,2020,,1360677453.0,56045613056.0,76.459,0.056,1356.436,-101.132,-6.938,2511.179,-11.7,-0.464,1.848,0.416,0.465,0.998,0.251,0.251,428.24,0.315,1318.879,0.971,0.302,1855.708,48160.555,174898.125,20114.623,3519.973,5978.36,163898.594,16691.891,17.636,3870.848,1.251,54.769,0.04,304.783,0.224,2.227,3.23,1154.762,0.85,1184.42,0.87,601.64,0.442,492.185,0.362,0.0795,1.1099999999999999,5266.976,4.682,3.875,6.389,3.01,4.281,2.835,7.031,2.549,18.951,2.429,20.659,2.817,0.304,13.743,4.034,26.885,4.515,0.4445,9.191,0.059,0.076,0.146,0.011,4395.21,3030.75,-37.557,-2.769
Africa,2021,,1393676724.0,56045613056.0,84.853,0.061,1435.214,78.778,5.808,2623.851,112.672,4.487,1.885,0.416,0.468,1.031,0.251,0.256,421.09,0.303,1389.118,0.998,0.302,1940.561,49595.77,177521.984,20535.711,3576.697,6313.953,165087.234,17228.846,17.636,4027.117,1.251,56.723,0.041,335.593,0.241,4.496,5.365,1188.655,0.854,8.5,1.033,3.23,0.344,536.955,0.386,0.0795,1.1099999999999999,5612.5,5.014,3.898,6.378,2.811,4.309,2.857,7.02,2.554,18.847,2.486,20.696,2.852,0.304,14.06,4.236,27.505,4.663,0.4445,9.186,0.06,0.077,0.148,0.011,33.980000000000004,26.69,-46.096,-3.212
Africa,2022,,1426736614.0,56045613056.0,85.509,0.06,1416.627,-18.588,-1.295,2532.478,-91.373,-3.482,1.777,0.416,0.748,0.994,0.251,0.418,401.602,0.282,38.448,3.9645,0.302,2026.07,51012.395,180054.453,20937.314,3631.451,6636.664,166203.109,17780.895,17.636,3943.844,1.251,54.754,0.038,322.712,0.226,4.496,5.365,1115.87,0.783,8.5,1.033,3.23,0.344,552.049,0.387,0.0795,1.1099999999999999,5626.826,5.326,3.813,6.108,2.639,4.344,2.877,7.005,2.556,18.743,2.535,20.724,2.887,0.304,13.776,4.165,25.891,4.648,0.4445,0.081,0.0,0.001,0.001,0.0,33.980000000000004,26.69,1.7725,11.889
Africa (GCP),1990,,5443903.5,56045613056.0,0.343,0.049,658.274,0.022,1.801,25.381,0.003,0.0,3.8594999999999997,0.416,0.251,2.715,0.251,0.207,0.0375,0.005,582.724,3.9645,0.302,8.979,221.237,1544.8835,3.8285,0.0,0.541,696.468,137.221,17.636,12843.79,1.251,0.0,0.0,0.032,0.007,4.496,5.365,1.194,0.21,8.5,1.033,3.23,0.344,3.9095,1.422,0.0795,1.1099999999999999,48.071,0.033,0.023,0.072,0.0,0.039,0.018,0.08,0.001,0.0,0.0,0.099,0.032,0.304,0.0,0.001,0.023,0.037,0.4445,0.081,0.0,0.001,0.001,0.0,33.980000000000004,26.69,1.7725,11.889
Africa (GCP),1991,,5443903.5,56045613056.0,0.343,0.049,687.822,0.022,1.801,25.381,0.003,0.0,3.8594999999999997,0.416,0.251,2.715,0.251,0.207,0.0375,0.005,607.35,3.9645,0.302,8.979,221.237,1544.8835,3.8285,0.0,0.541,696.468,137.221,17.636,12843.79,1.251,0.0,0.0,0.032,0.007,4.496,5.365,1.194,0.21,8.5,1.033,3.23,0.344,3.9095,1.422,0.0795,1.1099999999999999,48.071,0.033,0.023,0.072,0.0,0.039,0.018,0.08,0.001,0.0,0.0,0.099,0.032,0.304,0.0,0.001,0.023,0.037,0.4445,0.081,0.0,0.001,0.001,0.0,33.980000000000004,26.69,1.7725,11.889
Africa (GCP),1992,,5443903.5,56045613056.0,0.343,0.049,666.894,0.022,1.801,25.381,0.003,0.0,3.8594999999999997,0.416,0.251,2.715,0.251,0.207,0.0375,0.005,620.511,3.9645,0.302,8.979,221.237,1544.8835,3.8285,0.0,0.541,696.468,137.221,17.636,12843.79,1.251,0.0,0.0,0.032,0.007,4.496,5.365,1.194,0.21,8.5,1.033,3.23,0.344,3.9095,1.422,0.0795,1.1099999999999999,48.071,0.033,0.023,0.072,0.0,0.039,0.018,0.08,0.001,0.0,0.0,0.099,0.032,0.304,0.0,0.001,0.023,0.037,0.4445,0.081,0.0,0.001,0.001,0.0,33.980000000000004,26.69,1.7725,11.889
Africa (GCP),1993,,5443903.5,56045613056.0,0.343,0.049,706.651,0.022,1.801,25.381,0.003,0.0,3.8594999999999997,0.416,0.251,2.715,0.251,0.207,0.0375,0.005,643.518,3.9645,0.302,8.979,221.237,1544.8835,3.8285,0.0,0.541,696.468,137.221,17.636,12843.79,1.251,0.0,0.0,0.032,0.007,4.496,5.365,1.194,0.21,8.5,1.033,3.23,0.344,3.9095,1.422,0.0795,1.1099999999999999,48.071,0.033,0.023,0.072,0.0,0.039,0.018,0.08,0.001,0.0,0.0,0.099,0.032,0.304,0.0,0.001,0.023,0.037,0.4445,0.081,0.0,0.001,0.001,0.0,33.980000000000004,26.69,1.7725,11.889
Africa (GCP),1994,,5443903.5,56045613056.0,0.343,0.049,790.27,0.022,1.801,25.381,0.003,0.0,3.8594999999999997,0.416,0.251,2.715,0.251,0.207,0.0375,0.005,716.321,3.9645,0.302,8.979,221.237,1544.8835,3.8285,0.0,0.541,696.468,137.221,17.636,12843.79,1.251,0.0,0.0,0.032,0.007,4.496,5.365,1.194,0.21,8.5,1.033,3.23,0.344,3.9095,1.422,0.0795,1.1099999999999999,48.071,0.033,0.023,0.072,0.0,0.039,0.018,0.08,0.001,0.0,0.0,0.099,0.032,0.304,0.0,0.001,0.023,0.037,0.4445,0.081,0.0,0.001,0.001,0.0,33.980000000000004,26.69,1.7725,11.889
